"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"SPICEPREFIX";"SUPPLIER";
"5V";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";"";"68";"";"";
"15V";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";"";"68";"";"";
"24AC";"";"MSTBV2";"MSTBV2";"PHOENIX";"";"";"unknown";"unknown";"";"3";"";"";
"24V";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";"";"68";"";"";
"24VIN";"";"MSTBV2";"MSTBV2";"PHOENIX";"";"";"unknown";"unknown";"";"3";"";"";
"ACT";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";"";"68";"";"";
"B1";"";"2KBP2KBP_MINE";"2KBP_MINE";"RECTIFIER";"";"";"";"";"";"";"";"";
"C1";"22uF";"CPOL-EUE";"PANASONIC_E";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"0";"C";"";
"C2";"470uF";"CPOL-EUE5-10.5";"E5-10,5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"23";"C";"";
"C3";"22uF";"CPOL-EUE";"PANASONIC_E";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"0";"C";"";
"C4";"100nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"88";"C";"";
"C5";"100nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"88";"C";"";
"C6";"47uF";"CPOL-EUD";"PANASONIC_D";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"16";"C";"";
"C7";"1-10uF";"C-EUC3216";"C3216";"CAPACITOR, European symbol";"";"";"";"";"";"4";"C";"";
"C8";"1-50uF";"C-EUC3216";"C3216";"CAPACITOR, European symbol";"";"";"";"";"";"4";"C";"";
"C9";"100nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"88";"C";"";
"C10";"100nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"88";"C";"";
"C11";"10uF";"CPOL-EUA/3216-18R";"A/3216-18R";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"1";"C";"";
"C12";"10uF";"CPOL-EUA/3216-18R";"A/3216-18R";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"1";"C";"";
"C13";"100nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"88";"C";"";
"C14";"10uF";"CPOL-EUE";"PANASONIC_E";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"0";"C";"";
"C15";"22pF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"73";"C";"";
"C16";"100nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"88";"C";"";
"C17";"10uF";"CPOL-EUCT3216";"CT3216";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"1";"C";"";
"C18";"";"CPOL-EUE10-20";"EB20D";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"0";"C";"";
"D1";"1N4148";"1N4148DO35-7";"DO35-7";"DIODE";"";"";"";"";"";"58";"";"";
"D2";"1n4007";"CGRM4007-G";"SOD-123_MINI-SMA";"Molded plasitc,JEDEC SOD-123/Mini SMA";"";"";"";"";"";"0";"";"";
"ERR";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";"";"68";"";"";
"EXT_CMD";"";"MA04-1";"MA04-1";"PIN HEADER";"";"";"unknown";"unknown";"";"41";"";"";
"H1";"MOUNT-PAD-ROUND2.8";"MOUNT-PAD-ROUND2.8";"2,8-PAD";"MOUNTING PAD, round";"";"";"";"";"";"6";"";"";
"H2";"MOUNT-PAD-ROUND2.8";"MOUNT-PAD-ROUND2.8";"2,8-PAD";"MOUNTING PAD, round";"";"";"";"";"";"6";"";"";
"H3";"MOUNT-PAD-ROUND2.8";"MOUNT-PAD-ROUND2.8";"2,8-PAD";"MOUNTING PAD, round";"";"";"";"";"";"6";"";"";
"H4";"MOUNT-PAD-ROUND2.8";"MOUNT-PAD-ROUND2.8";"2,8-PAD";"MOUNTING PAD, round";"";"";"";"";"";"6";"";"";
"HEATSYNK";"";"SK09/20V";"SK09/20V";"";"";"";"";"";"";"";"";"";
"IC1";"7815TV";"7815TV";"TO220V";"Positive VOLTAGE REGULATOR";"";"";"";"";"";"0";"";"";
"IC2";"MC78M05";"MC78M05CDTG";"DPACK_3";"500 mA Positive Voltage Regulators";"";"";"";"";"";"0";"";"";
"M1";"ARDUINO-NANO-3.0";"ARDUINO-NANO-3.0";"ARDUINO-NANO-3.0";"Arduino Nano 3.0 and compatible devices";"";"";"";"";"";"";"";"";
"Q2";"IRF512";"IRF512";"TO220BV";"N-CHANNEL MOS FET";"";"";"";"";"";"3";"";"";
"R1";"100";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"45";"R";"";
"R3";"1K8";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R4";"1K8";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R5";"12K";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R6";"6K8";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R7";"1K8";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"SHUNT_RES";"";"W237-102";"W237-102";"WAGO SCREW CLAMP";"";"237-102";"unknown";"70K9898";"";"32";"";"";
"U$1";"";"SK09/20V";"SK09/20V";"";"";"";"";"";"";"";"";"";
"U$2";"YIG_FILTER";"YIG_FILTER";"EBAY";"";"";"";"";"";"";"";"";"";
"U2";"REF5025AID";"REF5025AID";"SOIC127P600X175-8N";"Low-Noise, Very Low Drift, Precision VOLTAGE REFERENCE";"";"REF5025AID";"1439622";"50M8895";"SOIC-8";"";"";"Texas Instruments";
"U3";"DAC8552IDGKT";"DAC8552IDGKT";"SOP65P490X110-8N";"0.05ìV/°C max, SINGLE-SUPPLY CMOS OPERATIONAL AMPLIFIERS Zer.-Drift Series";"";"DAC8552IDGKT";"-";"06M7244";"MSOP-8";"";"";"Texas Instruments";
"U4";"LT1006";"LT1006S8PBF";"SOIC127P600X175-8N";"Precision, Single Supply Op Amp";"";"LT1006S8#PBF";"9559230";"57M0724";"SOIC-8";"";"";"Linear Technology";
